,#Agents,#Layers,init,P(true sol),Epochs,LR,TTE,Opt cost
25,3,3,"{γ_0: 1.32, β_0: 1.04, γ_1: -1.32, β_1: 0.22, γ_2: -1.51, β_2: 1.33}",0.01,200,0.1,43.89,-0.6398595305526251
26,3,3,"{γ_0: 0.6, β_0: -0.97, γ_1: 1.24, β_1: 0.48, γ_2: 0.81, β_2: 0.5}",0.01,200,1.0,43.74,-0.5428879466606654
27,3,3,"{γ_0: 0.6, β_0: -0.97, γ_1: 1.24, β_1: 0.48, γ_2: 0.81, β_2: 0.5}",0.005,200,1.0,44.27,-0.6311093616635515
28,3,3,"{γ_0: -0.61, β_0: 1.07, γ_1: 0.56, β_1: -1.34, γ_2: 1.76, β_2: -0.8}",0.026,400,0.1,88.87,-0.5506089325798765
29,3,3,"{γ_0: -0.61, β_0: 1.07, γ_1: 0.56, β_1: -1.34, γ_2: 1.76, β_2: -0.8}",0.016,400,0.1,87.43,-0.5783000978766779
30,3,3,"{γ_0: 0.82, β_0: 1.75, γ_1: 1.3, β_1: 1.6, γ_2: -1.24, β_2: 0.55}",0.003,400,1.0,87.3,-0.5824073825544823
31,3,3,"{γ_0: 0.82, β_0: 1.75, γ_1: 1.3, β_1: 1.6, γ_2: -1.24, β_2: 0.55}",0.001,400,1.0,87.24,-0.6833087100891019
32,3,3,"{γ_0: -1.17, β_0: 1.28, γ_1: -1.76, β_1: 1.03, γ_2: 1.02, β_2: -0.68}",0.002,600,0.1,133.06,-0.535635067761524
33,3,3,"{γ_0: -1.17, β_0: 1.28, γ_1: -1.76, β_1: 1.03, γ_2: 1.02, β_2: -0.68}",0.004,600,0.1,130.65,-0.6855789411926645
34,3,3,"{γ_0: -0.03, β_0: -0.89, γ_1: 1.96, β_1: -0.19, γ_2: -0.61, β_2: 1.23}",0.009,600,1.0,132.11,-0.7774090148490029
35,3,3,"{γ_0: -0.03, β_0: -0.89, γ_1: 1.96, β_1: -0.19, γ_2: -0.61, β_2: 1.23}",0.004,600,1.0,133.98,-0.733867270343997
36,3,4,"{γ_0: 0.37, β_0: -0.73, γ_1: 0.13, β_1: -1.39, γ_2: -1.05, β_2: -0.4, γ_3: -1.09, β_3: 1.52}",0.012,200,0.1,68.65,-0.5385949769212955
37,3,4,"{γ_0: 0.37, β_0: -0.73, γ_1: 0.13, β_1: -1.39, γ_2: -1.05, β_2: -0.4, γ_3: -1.09, β_3: 1.52}",0.011,200,0.1,67.88,-0.567471941147149
38,3,4,"{γ_0: 1.48, β_0: 1.93, γ_1: -1.89, β_1: 1.03, γ_2: -0.85, β_2: -1.68, γ_3: -0.1, β_3: 0.12}",0.011,200,1.0,67.87,-0.8733863180670748
39,3,4,"{γ_0: 1.48, β_0: 1.93, γ_1: -1.89, β_1: 1.03, γ_2: -0.85, β_2: -1.68, γ_3: -0.1, β_3: 0.12}",0.009,200,1.0,67.8,-0.8972140364110353
40,3,4,"{γ_0: 0.59, β_0: 0.3, γ_1: -1.84, β_1: 0.24, γ_2: 0.02, β_2: -1.49, γ_3: 0.98, β_3: -0.14}",0.006,400,0.1,135.24,-0.4771776829435363
41,3,4,"{γ_0: 0.59, β_0: 0.3, γ_1: -1.84, β_1: 0.24, γ_2: 0.02, β_2: -1.49, γ_3: 0.98, β_3: -0.14}",0.006,400,0.1,135.63,-0.49308540589013977
42,3,4,"{γ_0: -0.28, β_0: -1.93, γ_1: 1.5, β_1: 1.31, γ_2: -0.68, β_2: 1.63, γ_3: 1.26, β_3: -0.61}",0.002,400,1.0,135.2,-0.8947417412821866
43,3,4,"{γ_0: -0.28, β_0: -1.93, γ_1: 1.5, β_1: 1.31, γ_2: -0.68, β_2: 1.63, γ_3: 1.26, β_3: -0.61}",0.008,400,1.0,134.76,-0.9440055886907002
44,3,4,"{γ_0: 1.04, β_0: 1.31, γ_1: 1.36, β_1: -1.53, γ_2: 1.84, β_2: -1.39, γ_3: -1.07, β_3: -1.8}",0.003,600,0.1,202.27,-0.5180050888397596
45,3,4,"{γ_0: 1.04, β_0: 1.31, γ_1: 1.36, β_1: -1.53, γ_2: 1.84, β_2: -1.39, γ_3: -1.07, β_3: -1.8}",0.002,600,0.1,202.18,-0.5361368243978798
46,3,4,"{γ_0: 0.44, β_0: -1.97, γ_1: 0.42, β_1: -1.25, γ_2: -1.05, β_2: 1.7, γ_3: 1.05, β_3: -1.76}",0.007,600,1.0,201.85,-0.8137707664898822
47,3,4,"{γ_0: 0.44, β_0: -1.97, γ_1: 0.42, β_1: -1.25, γ_2: -1.05, β_2: 1.7, γ_3: 1.05, β_3: -1.76}",0.009,600,1.0,202.91,-0.7606496611595959
