,#Agents,#Layers,init,P(true sol),Epochs,LR,TTE,Opt cost
0,3,1,"{γ_0: 1.57, β_0: -0.94}",0.005,200,0.1,10.32,-0.7870823043911782
1,3,1,"{γ_0: 1.57, β_0: -0.94}",0.003,200,0.1,10.35,-0.8120399860286684
2,3,1,"{γ_0: 0.19, β_0: 1.46}",0.015,200,1.0,10.28,-0.18294537117224308
3,3,1,"{γ_0: 0.19, β_0: 1.46}",0.002,200,1.0,10.33,-0.33641070518174987
4,3,1,"{γ_0: 1.99, β_0: 1.34}",0.007,400,0.1,20.82,-0.2593956556313388
5,3,1,"{γ_0: 1.99, β_0: 1.34}",0.007,400,0.1,21.21,-0.8036761761194225
6,3,1,"{γ_0: -1.49, β_0: -0.7}",0.036,400,1.0,20.87,-0.814692456987563
7,3,1,"{γ_0: -1.49, β_0: -0.7}",0.005,400,1.0,20.98,-0.7561789967121483
8,3,1,"{γ_0: -1.61, β_0: -1.75}",0.008,600,0.1,31.06,-0.8138563883369413
9,3,1,"{γ_0: -1.61, β_0: -1.75}",0.007,600,0.1,31.18,-0.16328129380090534
10,3,1,"{γ_0: -0.72, β_0: -0.05}",0.028,600,1.0,31.33,-0.8146879553319014
11,3,1,"{γ_0: -0.72, β_0: -0.05}",0.002,600,1.0,31.47,-0.5772991783727306
12,3,2,"{γ_0: 1.42, β_0: 1.72, γ_1: 1.96, β_1: -0.37}",0.011,200,0.1,23.9,-0.1777161333840247
13,3,2,"{γ_0: 1.42, β_0: 1.72, γ_1: 1.96, β_1: -0.37}",0.004,200,0.1,24.01,-0.3802697568211228
14,3,2,"{γ_0: -0.7, β_0: 1.01, γ_1: -0.1, β_1: -0.97}",0.034,200,1.0,23.97,-0.4048680383718223
15,3,2,"{γ_0: -0.7, β_0: 1.01, γ_1: -0.1, β_1: -0.97}",0.041,200,1.0,23.91,-0.5791021900985238
16,3,2,"{γ_0: -0.95, β_0: 0.51, γ_1: 1.91, β_1: -0.3}",0.002,400,0.1,48.76,-0.19155160383858488
17,3,2,"{γ_0: -0.95, β_0: 0.51, γ_1: 1.91, β_1: -0.3}",0.002,400,0.1,48.3,-0.23519190217456282
18,3,2,"{γ_0: -1.02, β_0: -0.68, γ_1: 0.04, β_1: -0.85}",0.001,400,1.0,48.23,-0.6588459446881677
19,3,2,"{γ_0: -1.02, β_0: -0.68, γ_1: 0.04, β_1: -0.85}",0.005,400,1.0,48.24,-0.9178860731719226
20,3,2,"{γ_0: 1.55, β_0: 0.95, γ_1: -0.34, β_1: -1.44}",0.005,600,0.1,72.43,-0.7014864451342642
21,3,2,"{γ_0: 1.55, β_0: 0.95, γ_1: -0.34, β_1: -1.44}",0.001,600,0.1,72.28,-0.7935780307326613
22,3,2,"{γ_0: -0.7, β_0: -0.41, γ_1: 0.87, β_1: -0.08}",0.013,600,1.0,72.24,-0.5048391562544075
23,3,2,"{γ_0: -0.7, β_0: -0.41, γ_1: 0.87, β_1: -0.08}",0.001,600,1.0,72.31,-0.528309442648617
24,3,3,"{γ_0: 1.32, β_0: 1.04, γ_1: -1.32, β_1: 0.22, γ_2: -1.51, β_2: 1.33}",0.021,200,0.1,43.9,-0.49983914948821895
