,#Agents,#Layers,init,P(true sol),Epochs,LR,TTE
0,3,1,"{γ_0: -1.44, β_0: -0.23}",0.017,400,0.1,20.96
1,3,1,"{γ_0: 0.24, β_0: -0.84}",0.024,400,1.0,20.94
2,3,2,"{γ_0: 0.11, β_0: 0.79, γ_1: 0.3, β_1: -1.05}",0.004,400,0.1,49.83
3,3,2,"{γ_0: 0.66, β_0: 1.38, γ_1: 1.5, β_1: 1.57}",0.002,400,1.0,51.09
4,3,3,"{γ_0: -0.24, β_0: 0.51, γ_1: -0.03, β_1: 1.97, γ_2: 0.88, β_2: 1.54}",0.003,400,0.1,88.96
5,3,3,"{γ_0: -1.07, β_0: -1.23, γ_1: -1.25, β_1: -0.34, γ_2: -0.85, β_2: 1.91}",0.027,400,1.0,89.31
